chromosomes,uces
Bos_taurus_1,uce-7281_p1
Bos_taurus_1,uce-7292_p1
Bos_taurus_1,uce-7311_p1
Bos_taurus_1,uce-7340_p1
Bos_taurus_1,uce-7363_p1
Bos_taurus_1,uce-7371_p1
Bos_taurus_1,uce-7421_p1
Bos_taurus_1,uce-7631_p1
Bos_taurus_1,uce-7637_p1
Bos_taurus_1,uce-7685_p1
Bos_taurus_1,uce-7785_p1
Bos_taurus_1,uce-7864_p1
Bos_taurus_1,uce-7982_p1
Bos_taurus_1,uce-7991_p1
Bos_taurus_1,uce-7997_p1
Bos_taurus_1,uce-8006_p1
Bos_taurus_1,uce-8035_p1
Bos_taurus_1,uce-8040_p1
Bos_taurus_2,uce-15_p5
Bos_taurus_2,uce-47_p1
Bos_taurus_2,uce-62_p2
Bos_taurus_2,uce-66_p1
Bos_taurus_2,uce-99_p3
Bos_taurus_2,uce-162_p2
Bos_taurus_2,uce-166_p1
Bos_taurus_2,uce-171_p4
Bos_taurus_2,uce-192_p2
Bos_taurus_2,uce-211_p2
Bos_taurus_2,uce-220_p1
Bos_taurus_2,uce-220_p2
Bos_taurus_2,uce-220_p3
Bos_taurus_2,uce-230_p1
Bos_taurus_2,uce-249_p4
Bos_taurus_2,uce-260_p2
Bos_taurus_2,uce-261_p1
Bos_taurus_2,uce-261_p2
Bos_taurus_2,uce-268_p1
Bos_taurus_2,uce-280_p4
Bos_taurus_2,uce-299_p2
Bos_taurus_2,uce-320_p1
Bos_taurus_2,uce-334_p6
Bos_taurus_2,uce-353_p1
Bos_taurus_2,uce-353_p2
Bos_taurus_2,uce-381_p1
Bos_taurus_2,uce-381_p2
Bos_taurus_2,uce-412_p2
Bos_taurus_2,uce-418_p1
Bos_taurus_2,uce-430_p2
Bos_taurus_2,uce-436_p1
Bos_taurus_2,uce-436_p2
Bos_taurus_2,uce-436_p3
Bos_taurus_2,uce-436_p4
Bos_taurus_2,uce-436_p5
Bos_taurus_2,uce-436_p6
Bos_taurus_2,uce-436_p7
Bos_taurus_2,uce-436_p8
Bos_taurus_2,uce-436_p9
Bos_taurus_2,uce-436_p10
Bos_taurus_2,uce-442_p2
Bos_taurus_2,uce-463_p1
Bos_taurus_2,uce-574_p2
Bos_taurus_2,uce-575_p4
Bos_taurus_2,uce-641_p1
Bos_taurus_2,uce-641_p2
Bos_taurus_2,uce-697_p2
Bos_taurus_2,uce-708_p1
Bos_taurus_2,uce-708_p2
Bos_taurus_2,uce-708_p3
Bos_taurus_2,uce-718_p1
Bos_taurus_2,uce-744_p2
Bos_taurus_2,uce-773_p2
Bos_taurus_2,uce-786_p2
Bos_taurus_2,uce-814_p5
Bos_taurus_2,uce-837_p1
Bos_taurus_2,uce-845_p2
Bos_taurus_2,uce-883_p1
Bos_taurus_2,uce-884_p2
Bos_taurus_2,uce-899_p1
Bos_taurus_2,uce-899_p2
Bos_taurus_2,uce-906_p3
Bos_taurus_2,uce-915_p1
Bos_taurus_2,uce-915_p2
Bos_taurus_2,uce-917_p1
Bos_taurus_2,uce-934_p2
Bos_taurus_2,uce-946_p3
Bos_taurus_2,uce-950_p2
Bos_taurus_2,uce-958_p1
Bos_taurus_2,uce-958_p2
Bos_taurus_2,uce-997_p1
Bos_taurus_2,uce-1017_p1
Bos_taurus_2,uce-1017_p2
Bos_taurus_2,uce-1038_p1
Bos_taurus_2,uce-1038_p2
Bos_taurus_2,uce-1038_p3
Bos_taurus_2,uce-1048_p1
Bos_taurus_2,uce-1048_p2
Bos_taurus_2,uce-1088_p2
Bos_taurus_2,uce-1107_p2
Bos_taurus_2,uce-1135_p1
Bos_taurus_2,uce-1172_p1
Bos_taurus_2,uce-1172_p2
Bos_taurus_2,uce-1183_p2
Bos_taurus_2,uce-1201_p2
Bos_taurus_2,uce-1209_p1
Bos_taurus_2,uce-1212_p3
Bos_taurus_2,uce-1241_p1
Bos_taurus_2,uce-1242_p2
Bos_taurus_2,uce-1246_p1
Bos_taurus_2,uce-1257_p1
Bos_taurus_2,uce-1290_p2
Bos_taurus_2,uce-1291_p1
Bos_taurus_2,uce-1295_p1
Bos_taurus_2,uce-1318_p3
Bos_taurus_2,uce-1335_p3
Bos_taurus_2,uce-1336_p1
Bos_taurus_2,uce-1336_p2
Bos_taurus_2,uce-1490_p2
Bos_taurus_2,uce-1514_p2
Bos_taurus_2,uce-1588_p1
Bos_taurus_2,uce-1588_p2
Bos_taurus_2,uce-1588_p3
Bos_taurus_2,uce-1588_p4
Bos_taurus_2,uce-1611_p1
Bos_taurus_2,uce-1611_p2
Bos_taurus_2,uce-1611_p3
Bos_taurus_2,uce-1611_p4
Bos_taurus_2,uce-1611_p5
Bos_taurus_2,uce-1611_p6
Bos_taurus_2,uce-1625_p1
Bos_taurus_2,uce-1689_p2
Bos_taurus_2,uce-1698_p2
Bos_taurus_2,uce-1742_p2
Bos_taurus_2,uce-1743_p1
Bos_taurus_2,uce-1743_p2
Bos_taurus_2,uce-1757_p3
Bos_taurus_2,uce-1774_p1
Bos_taurus_2,uce-1775_p1
Bos_taurus_2,uce-1775_p2
Bos_taurus_2,uce-1796_p2
Bos_taurus_2,uce-1810_p2
Bos_taurus_2,uce-1863_p1
Bos_taurus_2,uce-1875_p1
Bos_taurus_2,uce-1919_p1
Bos_taurus_2,uce-1925_p2
Bos_taurus_2,uce-1963_p1
Bos_taurus_2,uce-1975_p7
Bos_taurus_2,uce-1975_p8
Bos_taurus_2,uce-1996_p1
Bos_taurus_2,uce-1996_p2
Bos_taurus_2,uce-1996_p3
Bos_taurus_2,uce-2001_p2
Bos_taurus_2,uce-2007_p1
Bos_taurus_2,uce-2007_p2
Bos_taurus_2,uce-2010_p1
Bos_taurus_2,uce-2010_p2
Bos_taurus_2,uce-2010_p3
Bos_taurus_2,uce-2021_p1
Bos_taurus_2,uce-2023_p3
Bos_taurus_2,uce-2035_p2
Bos_taurus_2,uce-2103_p1
Bos_taurus_2,uce-2119_p1
Bos_taurus_2,uce-2138_p1
Bos_taurus_2,uce-2142_p1
Bos_taurus_2,uce-2210_p1
Bos_taurus_2,uce-2261_p1
Bos_taurus_2,uce-2334_p1
Bos_taurus_2,uce-2386_p1
Bos_taurus_2,uce-2407_p1
Bos_taurus_2,uce-2456_p1
Bos_taurus_2,uce-2457_p1
Bos_taurus_2,uce-2485_p1
Bos_taurus_2,uce-2514_p1
Bos_taurus_2,uce-2576_p1
Bos_taurus_2,uce-2599_p1
Bos_taurus_2,uce-2609_p1
Bos_taurus_2,uce-2614_p1
Bos_taurus_2,uce-2639_p1
Bos_taurus_2,uce-2645_p1
Bos_taurus_2,uce-2648_p1
Bos_taurus_2,uce-2662_p1
Bos_taurus_2,uce-2704_p1
Bos_taurus_2,uce-2739_p1
Bos_taurus_2,uce-2758_p1
Bos_taurus_2,uce-2817_p1
Bos_taurus_2,uce-2821_p1
Bos_taurus_2,uce-2823_p1
Bos_taurus_2,uce-2851_p1
Bos_taurus_2,uce-2915_p1
Bos_taurus_2,uce-2998_p1
Bos_taurus_2,uce-3028_p1
Bos_taurus_2,uce-3031_p1
Bos_taurus_2,uce-3032_p1
Bos_taurus_2,uce-3049_p1
Bos_taurus_2,uce-3057_p1
Bos_taurus_2,uce-3082_p1
Bos_taurus_2,uce-3134_p1
Bos_taurus_2,uce-3184_p1
Bos_taurus_2,uce-3248_p1
Bos_taurus_2,uce-3291_p1
Bos_taurus_2,uce-3309_p1
Bos_taurus_2,uce-3323_p1
Bos_taurus_2,uce-3335_p1
Bos_taurus_2,uce-3338_p1
Bos_taurus_2,uce-3346_p1
Bos_taurus_2,uce-3371_p1
Bos_taurus_2,uce-3376_p1
Bos_taurus_2,uce-3377_p1
Bos_taurus_2,uce-3379_p1
Bos_taurus_2,uce-3380_p1
Bos_taurus_2,uce-3384_p1
Bos_taurus_2,uce-3436_p1
Bos_taurus_2,uce-3441_p1
Bos_taurus_2,uce-3442_p1
Bos_taurus_2,uce-3462_p1
Bos_taurus_2,uce-3472_p1
Bos_taurus_2,uce-3476_p1
Bos_taurus_2,uce-3561_p1
Bos_taurus_2,uce-3564_p1
Bos_taurus_2,uce-3648_p1
Bos_taurus_2,uce-3668_p1
Bos_taurus_2,uce-3675_p1
Bos_taurus_2,uce-3746_p1
Bos_taurus_2,uce-3750_p1
Bos_taurus_2,uce-3782_p1
Bos_taurus_2,uce-3806_p1
Bos_taurus_2,uce-3851_p1
Bos_taurus_2,uce-3852_p1
Bos_taurus_2,uce-3874_p1
Bos_taurus_2,uce-3905_p1
Bos_taurus_2,uce-3914_p1
Bos_taurus_2,uce-3937_p1
Bos_taurus_2,uce-3946_p1
Bos_taurus_2,uce-3988_p1
Bos_taurus_2,uce-4010_p1
Bos_taurus_2,uce-4014_p1
Bos_taurus_2,uce-4025_p1
Bos_taurus_2,uce-4045_p1
Bos_taurus_2,uce-4096_p1
Bos_taurus_2,uce-4099_p1
Bos_taurus_2,uce-4102_p1
Bos_taurus_2,uce-4138_p1
Bos_taurus_2,uce-4141_p1
Bos_taurus_2,uce-4174_p1
Bos_taurus_2,uce-4211_p1
Bos_taurus_2,uce-4292_p1
Bos_taurus_2,uce-4310_p1
Bos_taurus_2,uce-4315_p1
Bos_taurus_2,uce-4386_p1
Bos_taurus_2,uce-4416_p1
Bos_taurus_2,uce-4423_p1
Bos_taurus_2,uce-4453_p1
Bos_taurus_2,uce-4559_p1
Bos_taurus_2,uce-4593_p1
Bos_taurus_2,uce-4607_p1
Bos_taurus_2,uce-4629_p1
Bos_taurus_2,uce-4688_p1
Bos_taurus_2,uce-4747_p1
Bos_taurus_2,uce-4750_p1
Bos_taurus_2,uce-4778_p1
Bos_taurus_2,uce-4818_p1
Bos_taurus_2,uce-4827_p1
Bos_taurus_2,uce-4829_p1
Bos_taurus_2,uce-4830_p1
Bos_taurus_2,uce-4891_p1
Bos_taurus_2,uce-4901_p1
Bos_taurus_2,uce-4933_p1
Bos_taurus_2,uce-4935_p1
Bos_taurus_2,uce-4952_p1
Bos_taurus_2,uce-4967_p1
Bos_taurus_2,uce-5029_p1
Bos_taurus_2,uce-5038_p1
Bos_taurus_2,uce-5114_p1
Bos_taurus_2,uce-5162_p1
Bos_taurus_2,uce-5208_p1
Bos_taurus_2,uce-5235_p1
Bos_taurus_2,uce-5256_p1
Bos_taurus_2,uce-5296_p1
Bos_taurus_2,uce-5313_p1
Bos_taurus_2,uce-5314_p1
Bos_taurus_2,uce-5390_p1
Bos_taurus_2,uce-5395_p1
Bos_taurus_2,uce-5409_p1
Bos_taurus_2,uce-5453_p1
Bos_taurus_2,uce-5457_p1
Bos_taurus_2,uce-5542_p1
Bos_taurus_2,uce-5548_p1
Bos_taurus_2,uce-5573_p1
Bos_taurus_2,uce-5578_p1
Bos_taurus_2,uce-5693_p1
Bos_taurus_2,uce-5705_p1
Bos_taurus_2,uce-5797_p1
Bos_taurus_2,uce-5803_p1
Bos_taurus_2,uce-5847_p1
Bos_taurus_2,uce-5889_p1
Bos_taurus_2,uce-5912_p1
Bos_taurus_2,uce-5936_p1
Bos_taurus_2,uce-5953_p1
Bos_taurus_2,uce-5977_p1
Bos_taurus_2,uce-6043_p1
Bos_taurus_2,uce-6090_p1
Bos_taurus_2,uce-6118_p1
Bos_taurus_2,uce-6140_p1
Bos_taurus_2,uce-6186_p1
Bos_taurus_2,uce-6198_p1
Bos_taurus_2,uce-6205_p1
Bos_taurus_2,uce-6229_p1
Bos_taurus_2,uce-6243_p1
Bos_taurus_2,uce-6246_p1
Bos_taurus_2,uce-6258_p1
Bos_taurus_2,uce-6261_p1
Bos_taurus_2,uce-6264_p1
Bos_taurus_2,uce-6267_p1
Bos_taurus_2,uce-6278_p1
Bos_taurus_2,uce-6282_p1
Bos_taurus_2,uce-6449_p1
Bos_taurus_2,uce-6595_p1
Bos_taurus_2,uce-6627_p1
Bos_taurus_2,uce-6657_p1
Bos_taurus_2,uce-6676_p1
Bos_taurus_2,uce-6718_p1
Bos_taurus_2,uce-6732_p1
Bos_taurus_2,uce-6766_p1
Bos_taurus_2,uce-6800_p1
Bos_taurus_2,uce-6806_p1
Bos_taurus_2,uce-6862_p1
Bos_taurus_2,uce-6887_p1
Bos_taurus_2,uce-6892_p1
Bos_taurus_2,uce-6944_p1
Bos_taurus_2,uce-6948_p1
Bos_taurus_2,uce-6988_p1
Bos_taurus_2,uce-6990_p1
Bos_taurus_2,uce-7062_p1
Bos_taurus_2,uce-7063_p1
Bos_taurus_2,uce-7120_p1
Bos_taurus_2,uce-7122_p1
Bos_taurus_2,uce-7147_p1
Bos_taurus_2,uce-7170_p1
Bos_taurus_2,uce-7207_p1
Bos_taurus_2,uce-7210_p1
Bos_taurus_2,uce-7212_p1
Bos_taurus_2,uce-7215_p1
Bos_taurus_2,uce-7240_p1
Bos_taurus_2,uce-7267_p1
Bos_taurus_2,uce-7269_p1
Bos_taurus_2,uce-7283_p1
Bos_taurus_2,uce-7286_p1
Bos_taurus_2,uce-7291_p1
Bos_taurus_2,uce-7305_p1
Bos_taurus_2,uce-7325_p1
Bos_taurus_2,uce-7388_p1
Bos_taurus_2,uce-7415_p1
Bos_taurus_2,uce-7437_p1
Bos_taurus_2,uce-7446_p1
Bos_taurus_2,uce-7459_p1
Bos_taurus_2,uce-7501_p1
Bos_taurus_2,uce-7532_p1
Bos_taurus_2,uce-7615_p1
Bos_taurus_2,uce-7622_p1
Bos_taurus_2,uce-7627_p1
Bos_taurus_2,uce-7631_p1
Bos_taurus_2,uce-7669_p1
Bos_taurus_2,uce-7721_p1
Bos_taurus_2,uce-7859_p1
Bos_taurus_2,uce-7872_p1
Bos_taurus_2,uce-7876_p1
Bos_taurus_2,uce-7919_p1
Bos_taurus_2,uce-7941_p1
Bos_taurus_2,uce-7947_p1
Bos_taurus_2,uce-7969_p1
Bos_taurus_2,uce-8005_p1
Bos_taurus_2,uce-8030_p1
Bos_taurus_3,uce-17_p2
Bos_taurus_3,uce-81_p1
Bos_taurus_3,uce-101_p1
Bos_taurus_3,uce-101_p2
Bos_taurus_3,uce-121_p1
Bos_taurus_3,uce-124_p1
Bos_taurus_3,uce-146_p2
Bos_taurus_3,uce-161_p2
Bos_taurus_3,uce-164_p2
Bos_taurus_3,uce-202_p2
Bos_taurus_3,uce-237_p3
Bos_taurus_3,uce-256_p2
Bos_taurus_3,uce-256_p3
Bos_taurus_3,uce-325_p1
Bos_taurus_3,uce-327_p1
Bos_taurus_3,uce-344_p1
Bos_taurus_3,uce-490_p1
Bos_taurus_3,uce-528_p2
Bos_taurus_3,uce-570_p3
Bos_taurus_3,uce-626_p2
Bos_taurus_3,uce-638_p2
Bos_taurus_3,uce-882_p1
Bos_taurus_3,uce-882_p2
Bos_taurus_3,uce-882_p3
Bos_taurus_3,uce-1026_p2
Bos_taurus_3,uce-1085_p1
Bos_taurus_3,uce-1138_p2
Bos_taurus_3,uce-1154_p1
Bos_taurus_3,uce-1154_p2
Bos_taurus_3,uce-1232_p1
Bos_taurus_3,uce-1251_p3
Bos_taurus_3,uce-1270_p3
Bos_taurus_3,uce-1366_p1
Bos_taurus_3,uce-1376_p1
Bos_taurus_3,uce-1376_p2
Bos_taurus_3,uce-1376_p3
Bos_taurus_3,uce-1376_p4
Bos_taurus_3,uce-1376_p5
Bos_taurus_3,uce-1396_p1
Bos_taurus_3,uce-1478_p1
Bos_taurus_3,uce-1497_p2
Bos_taurus_3,uce-1573_p1
Bos_taurus_3,uce-1580_p6
Bos_taurus_3,uce-1581_p3
Bos_taurus_3,uce-1610_p3
Bos_taurus_3,uce-1746_p2
Bos_taurus_3,uce-1804_p4
Bos_taurus_3,uce-1841_p2
Bos_taurus_3,uce-1850_p2
Bos_taurus_3,uce-1864_p1
Bos_taurus_3,uce-1869_p1
Bos_taurus_3,uce-1906_p1
Bos_taurus_3,uce-1906_p2
Bos_taurus_3,uce-1913_p2
Bos_taurus_3,uce-1979_p2
Bos_taurus_3,uce-2030_p1
Bos_taurus_3,uce-2031_p1
Bos_taurus_3,uce-2063_p1
Bos_taurus_3,uce-2063_p2
Bos_taurus_3,uce-2082_p3
Bos_taurus_3,uce-2082_p4
Bos_taurus_3,uce-2083_p2
Bos_taurus_3,uce-2111_p2
Bos_taurus_3,uce-2113_p2
Bos_taurus_3,uce-2120_p5
Bos_taurus_3,uce-2125_p1
Bos_taurus_3,uce-2146_p2
Bos_taurus_3,uce-2204_p1
Bos_taurus_3,uce-2276_p1
Bos_taurus_3,uce-2344_p1
Bos_taurus_3,uce-2349_p1
Bos_taurus_3,uce-2438_p1
Bos_taurus_3,uce-2441_p1
Bos_taurus_3,uce-2472_p1
Bos_taurus_3,uce-2572_p1
Bos_taurus_3,uce-2609_p1
Bos_taurus_3,uce-2621_p1
Bos_taurus_3,uce-2703_p1
Bos_taurus_3,uce-2732_p1
Bos_taurus_3,uce-2757_p1
Bos_taurus_3,uce-2762_p1
Bos_taurus_3,uce-2771_p1
Bos_taurus_3,uce-2930_p1
Bos_taurus_3,uce-2938_p1
Bos_taurus_3,uce-2987_p1
Bos_taurus_3,uce-3055_p1
Bos_taurus_3,uce-3081_p1
Bos_taurus_3,uce-3084_p1
Bos_taurus_3,uce-3092_p1
Bos_taurus_3,uce-3096_p1
Bos_taurus_3,uce-3101_p1
Bos_taurus_3,uce-3122_p1
Bos_taurus_3,uce-3159_p1
Bos_taurus_3,uce-3161_p1
Bos_taurus_3,uce-3163_p1
Bos_taurus_3,uce-3227_p1
Bos_taurus_3,uce-3242_p1
Bos_taurus_3,uce-3294_p1
Bos_taurus_3,uce-3308_p1
Bos_taurus_3,uce-3332_p1
Bos_taurus_3,uce-3369_p1
Bos_taurus_3,uce-3378_p1
Bos_taurus_3,uce-3381_p1
Bos_taurus_3,uce-3410_p1
Bos_taurus_3,uce-3423_p1
Bos_taurus_3,uce-3454_p1
Bos_taurus_3,uce-3481_p1
Bos_taurus_3,uce-3497_p1
Bos_taurus_3,uce-3516_p1
Bos_taurus_3,uce-3528_p1
Bos_taurus_3,uce-3603_p1
Bos_taurus_3,uce-3678_p1
Bos_taurus_3,uce-3759_p1
Bos_taurus_3,uce-3774_p1
Bos_taurus_3,uce-3857_p1
Bos_taurus_3,uce-3894_p1
Bos_taurus_3,uce-3914_p1
Bos_taurus_3,uce-3969_p1
Bos_taurus_3,uce-4008_p1
Bos_taurus_3,uce-4066_p1
Bos_taurus_3,uce-4072_p1
Bos_taurus_3,uce-4095_p1
Bos_taurus_3,uce-4113_p1
Bos_taurus_3,uce-4146_p1
Bos_taurus_3,uce-4179_p1
Bos_taurus_3,uce-4198_p1
Bos_taurus_3,uce-4210_p1
Bos_taurus_3,uce-4256_p1
Bos_taurus_3,uce-4284_p1
Bos_taurus_3,uce-4295_p1
Bos_taurus_3,uce-4317_p1
Bos_taurus_3,uce-4343_p1
Bos_taurus_3,uce-4367_p1
Bos_taurus_3,uce-4414_p1
Bos_taurus_3,uce-4426_p1
Bos_taurus_3,uce-4437_p1
Bos_taurus_3,uce-4443_p1
Bos_taurus_3,uce-4466_p1
Bos_taurus_3,uce-4484_p1
Bos_taurus_3,uce-4550_p1
Bos_taurus_3,uce-4575_p1
Bos_taurus_3,uce-4616_p1
Bos_taurus_3,uce-4681_p1
Bos_taurus_3,uce-4690_p1
Bos_taurus_3,uce-4698_p1
Bos_taurus_3,uce-4706_p1
Bos_taurus_3,uce-4713_p1
Bos_taurus_3,uce-4761_p1
Bos_taurus_3,uce-4765_p1
Bos_taurus_3,uce-4850_p1
Bos_taurus_3,uce-4865_p1
Bos_taurus_3,uce-4908_p1
Bos_taurus_3,uce-4918_p1
Bos_taurus_3,uce-4921_p1
Bos_taurus_3,uce-4927_p1
Bos_taurus_3,uce-4929_p1
Bos_taurus_3,uce-4963_p1
Bos_taurus_3,uce-4995_p1
Bos_taurus_3,uce-5013_p1
Bos_taurus_3,uce-5040_p1
Bos_taurus_3,uce-5041_p1
Bos_taurus_3,uce-5042_p1
Bos_taurus_3,uce-5143_p1
Bos_taurus_3,uce-5153_p1
Bos_taurus_3,uce-5202_p1
Bos_taurus_3,uce-5259_p1
Bos_taurus_3,uce-5261_p1
Bos_taurus_3,uce-5321_p1
